Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
7/19/2020,7/21/2020,SCOMAS SAUSALITO,Food & Drink,Sale,-68.67,y,,,,,,,,,
7/18/2020,7/20/2020,THE CANTINA,Food & Drink,Sale,-72.43,y,,,,,,,,,
7/18/2020,7/19/2020,CHEVRON 0092038,Gas,Sale,-34.99,y,,,,,,,,,
7/12/2020,7/13/2020,FASTRAK CSC,Travel,Sale,-50,y,,,,,,,,,
7/11/2020,7/13/2020,PEACOCK GAP GOLF CLUB,Food & Drink,Sale,-66,y,,,,,,,,,
7/11/2020,7/12/2020,Payment Thank You - Web,,Payment,941.29,y,,,,,,,,,
7/8/2020,7/9/2020,SQ *MARINERS POINT GOLF C,Entertainment,Sale,-14,y,,,,,,,,,
7/5/2020,7/7/2020,OSTERIA AL MARE,Food & Drink,Sale,-73.72,y,,,,,,,,,
7/5/2020,7/6/2020,HIGHWAY 1 BREWING COMPANY,Food & Drink,Sale,-40.22,y,,,,,,,,,
7/5/2020,7/6/2020,FASTRAK CSC,Travel,Sale,-25,y,,,,,,,,,
7/4/2020,7/6/2020,PEACOCK GAP GOLF CLUB,Food & Drink,Sale,-66,y,,,,,,,,,
7/5/2020,7/6/2020,FARM FRESH MOSS LANDING 2,Groceries,Sale,-35.76,y,,,,,,,,,
7/5/2020,7/6/2020,MONTEREY CR LOTS,Travel,Sale,-4,y,,,,,,,,,
7/5/2020,7/6/2020,76 - SEI 37985,Gas,Sale,-26.71,y,,,,,,,,,
7/3/2020,7/5/2020,CAFE MARE,Food & Drink,Sale,-62.28,y,? 62.28 plus tip of 10 = 72.28,,,,,,,,
7/3/2020,7/5/2020,CHEVRON 0381825,Gas,Sale,-22.63,,,,,,,,,,
7/3/2020,7/5/2020,DT PAY BY SPACE,Travel,Sale,-1.5,,,,,,,,,,
7/1/2020,7/2/2020,SQ *MARINERS POINT GOLF C,Entertainment,Sale,-14,y,,,,,,,,,
6/28/2020,7/1/2020,MISSION ST. BBQ,Food & Drink,Sale,-25.76,y,,,,,,,,,
6/28/2020,6/30/2020,STARBUCKS STORE 53811,Food & Drink,Sale,-16.1,y,,,,,,,,,
6/27/2020,6/29/2020,TILDEN PARK 103 PS,Entertainment,Sale,-69,y,,,,,,,,,
6/28/2020,6/29/2020,FASTRAK CSC,Travel,Sale,-25,y,,,,,,,,,
6/28/2020,6/29/2020,HALF MOON BAY ALLIANCE,Gas,Sale,-34.34,y,,,,,,,,,
