INV-0136,Unit D,01 Jun 2016,05 Jul 2016,Water,PHP,"1,068.00",0.00,Paid,Receivable Invoice,Not sent
INV-0137,Unit C,01 Jun 2016,06 Jun 2016,Water,PHP,686.00,0.00,Paid,Receivable Invoice,Not sent
INV-0138,Unit B,01 Jun 2016,06 Jun 2016,Water,PHP,992.00,0.00,Paid,Receivable Invoice,Not sent
INV-0139,Unit A,01 Jun 2016,06 Jun 2016,Water,PHP,915.72,0.00,Paid,Receivable Invoice,Not sent
INV-0140,Unit F,01 Jun 2016,06 Jun 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0141,Unit E,01 Jun 2016,05 Jul 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0142,Unit D,01 Jun 2016,06 Jun 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0143,Unit C,01 Jun 2016,06 Jun 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0144,Unit B,01 Jun 2016,06 Jun 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0145,Unit A,01 Jun 2016,06 Jun 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0146,Unt F,01 Jun 2016,06 Jun 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0147,Unit C,01 Jun 2016,06 Jun 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0148,Unit E,01 Jun 2016,06 Jun 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0149,Unit D,01 Jun 2016,06 Jun 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0150,Unit B,01 Jun 2016,06 Jun 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0151,Unit A,01 Jun 2016,06 Jun 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0152,Unit A,01 Jul 2016,06 Jul 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0153,Unit B,01 Jul 2016,06 Jul 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0154,Unit D,01 Jul 2016,06 Jul 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0155,Unit E,01 Jul 2016,06 Jul 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0156,Unit C,01 Jul 2016,06 Jul 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0157,Unt F,01 Jul 2016,06 Jul 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0158,Unit A,01 Jul 2016,06 Jul 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0159,Unit B,01 Jul 2016,06 Jul 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0160,Unit C,01 Jul 2016,06 Jul 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0161,Unit D,01 Jul 2016,06 Jul 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0162,Unit E,01 Jul 2016,05 Aug 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0163,Unit F,01 Jul 2016,06 Jul 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0164,Unit A,01 Jul 2016,06 Jul 2016,Water,PHP,"1,134.00",0.00,Paid,Receivable Invoice,Not sent
INV-0165,Unit B,01 Jul 2016,06 Jul 2016,Water,PHP,819.00,0.00,Paid,Receivable Invoice,Not sent
INV-0166,Unit C,01 Jul 2016,06 Jul 2016,Water,PHP,945.00,0.00,Paid,Receivable Invoice,Not sent
